Category,Product URL,is_processed
Bakery,https://www.metro-markets.com/product/Garameesh-Original-Rusk---375g/41244,False
Bakery,https://www.metro-markets.com/product/Garameesh-Whole-Wheat-Rusk---375g/41245,False
Bakery,https://www.metro-markets.com/product/Garameesh-Milk-Rusk---375g/41246,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-High-Fiber-Toast-Bread---500-g/42037,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Whole-Wheat-No-Sugar-Toast-500/42038,False
Bakery,https://www.metro-markets.com/product/Brunch-Pie-Apple-&-Cinnamon-1P/42039,False
Bakery,https://www.metro-markets.com/product/Brunch-Pie-Roumy-Cheese-With-Sausage-1P/42040,False
Bakery,https://www.metro-markets.com/product/Reef-Bran-Plus-Bread--7Pcs/42041,False
Bakery,https://www.metro-markets.com/product/Reef-High-Protein-Bread--7Pcs/42042,False
Bakery,https://www.metro-markets.com/product/Breadway.Wh.Wheat-Soft-Roll-Bread-240g/42044,False
Bakery,https://www.metro-markets.com/product/Domty-Croissant-Tofy-1P/42130,False
Bakery,https://www.metro-markets.com/product/Domty-Croissant-Chocolate-1P/42131,False
Bakery,https://www.metro-markets.com/product/Domty-Croissant-Strawberry-1P/42132,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Whole-Wheat-Sugar-Free.P.Bread/42280,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Oat&Whole-Wheat-Pita-Bread/42281,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Barley&Whole-Wheat-Pita-Bread/42282,False
Bakery,https://www.metro-markets.com/product/Domty-Sandwich-Supreme-Pizza-1Pc/42283,False
Bakery,https://www.metro-markets.com/product/Domty-Sandwich-Supreme-Basterma-1Pc/42284,False
Bakery,https://www.metro-markets.com/product/El-Nile-Leban.Bread-Super-5p/42740,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Lebanese-Bread-4Pcs/43616,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Fino-Bread-Sugar-Free--4p/43617,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Baladi-Bread---5Pcs/43954,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Glazed-Soft-Bun-2Pcs/44116,False
Bakery,https://www.metro-markets.com/product/Brunch-Razz-Chocolate-Cupcake---1P/23005,False
Bakery,https://www.metro-markets.com/product/Brunch-Razz-Golden-Vanilla-Cupcake---1P/23006,False
Bakery,https://www.metro-markets.com/product/Brunch-Mini-Razz-M.Choc.Cupcake-W.Cho-12/23026,False
Bakery,https://www.metro-markets.com/product/Brunch-Mini-Razz-M.Gol.-Cupcake-W.Cho-12/23027,False
Bakery,https://www.metro-markets.com/product/Cleo-Cheese-Rice-Cakes-35g/43712,False
Bakery,https://www.metro-markets.com/product/Cleo-Apple-&-Cinnamon-Rice-Cakes-35g/43714,False
Bakery,https://www.metro-markets.com/product/Cleo-Sea-Salted-Corn-Cakes-36g/43727,False
Bakery,https://www.metro-markets.com/product/Cleo-Corn-Cakes-Marinara-36g/43728,False
Bakery,https://www.metro-markets.com/product/Cleo-Cheese-&-Herbs-Corn-Cakes-36g/43730,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Razz-Chocolate-Cupcake---1Pc/44216,False
Bakery,https://www.metro-markets.com/product/Rich-Bake-Razz-Vanilla-Cupcake-1Pc/44217,False
Bakery,https://www.metro-markets.com/product/Deli-Sun-Pain-Wheat-Tortillas---360g/23047,False
Bakery,https://www.metro-markets.com/product/Deli-Sun-8-Pcs-Bread-Tortillas---320g/23028,False
Bakery,https://www.metro-markets.com/product/Deli-Sun-8-Pcs-Pain-Corn-Tortilla--480g/23029,False
Bakery,https://www.metro-markets.com/product/Deli-Sun-10-Pcs-Mini-Tortillas---250g/23102,False
Bakery,https://www.metro-markets.com/product/Deli-Sun-Wheat-Mini-Tortilla---250g/23103,False
Bakery,https://www.metro-markets.com/product/Breadway-Tortilla-Plain---450g/34453,False
Bakery,https://www.metro-markets.com/product/Family-Life-Plan-Flour-Tortillas-25Cm-5p/34454,False
Bakery,https://www.metro-markets.com/product/Breadway-Tortilla-Plain---240g/35375,False
Bakery,https://www.metro-markets.com/product/Breadway-Tortilla-Brown---240g/35376,False
Bakery,https://www.metro-markets.com/product/Mission-Original-Tortilla20Cm/41464,False
Bakery,https://www.metro-markets.com/product/Mission-Original-Tortilla-Wh.Corn---25cm/41465,False
Bakery,https://www.metro-markets.com/product/Mission-Original-Durum-Wh.Tortilla-25cm/41466,False
Bakery,https://www.metro-markets.com/product/Mission-Original-WholWheat-Tortilla-25cm/41467,False
Bakery,https://www.metro-markets.com/product/Breadway-Large-Bran-Tortilla-Bread-450g/42043,False
Beverage,https://www.metro-markets.com/product/Schweppes-Tangerine-Can-300Ml/21437,False
Beverage,https://www.metro-markets.com/product/Coca-Cola-Can---320Ml/21447,False
Beverage,https://www.metro-markets.com/product/Fanta-Orange-Can---320Ml/21448,False
Beverage,https://www.metro-markets.com/product/Sprite-Lemon-Can-320Ml/21449,False
Beverage,https://www.metro-markets.com/product/Coca-Cola-Bottle---950Ml/21450,False
Beverage,https://www.metro-markets.com/product/Sprite-Lemon-Flavoured-Soft-Drink--950Ml/21451,False
Beverage,https://www.metro-markets.com/product/Fanta-Orange-Soft-Drink-Bottle--950Ml/21452,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Strawberry-Crb-Drink---275Ml/21461,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Grenadine-Crb-Drink---275Ml/21462,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Lemon-&-Gi.-Crb-Drink---275Ml/21463,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Black-Berry-Crb-Drink---275Ml/21464,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Apple-Crb-Drink---275Ml/21466,False
Beverage,https://www.metro-markets.com/product/Freeze-Pineapple-Sparkling-Juice--275Ml/21468,False
Beverage,https://www.metro-markets.com/product/Freeze-Sparkling-Kiwi-Juice---275Ml/21469,False
Beverage,https://www.metro-markets.com/product/Barbican-Peach-Malt-Beverage--330Ml/21470,False
Beverage,https://www.metro-markets.com/product/Barbican-Apple-Malt-Beverage-330Ml/21471,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Lemon-&-Mint-Crb-Drink---275Ml/21477,False
Beverage,https://www.metro-markets.com/product/Barbican-Regular-Malt--330Ml/21479,False
Beverage,https://www.metro-markets.com/product/Barbican-Pineapple-Soft-Drink---330Ml/21482,False
Beverage,https://www.metro-markets.com/product/Freez-Mix-Blue-Hawaii-Crb-Drink---275Ml/21486,False
Beverage,https://www.metro-markets.com/product/Coca-Cola-Zero-Bottle---950Ml/21488,False
Beverage,https://www.metro-markets.com/product/Coca-Cola-Zero-Can---320Ml/21489,False
Beverage,https://www.metro-markets.com/product/Sprite-Zero-Can-320Ml/21491,False
