Main Category,URL,is_processed
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/cheesa-edam-cheese/p/279632,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/egyptian-white-cheese/bramily-cheese/p/327042,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/chicken/koki-chicken-breast-bone-in/p/323864,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/dina-farms-barameely-cheese-450-g/p/581210,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/egyptian-white-cheese/istanbuli-cheese-fresh/p/323514,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/halwani-olive-bf-lnchon/p/318618,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/dry-meat/merai-basterma/p/319125,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/shredded-cheese/domty-mozzarella-cheese-550-g/p/434115,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/egyptian-white-cheese/feta-cheese-whight/p/345957,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/danone-max-strawberry-205g/p/533129,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/bal-beef-ribeye/p/426164,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/dinafarms-cheddar-spread-cheese500g/p/616296,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/egyptian-white-cheese/katilo-cheese-low-salt-kg/p/487169,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/almarai-chocolate-milk-200m/p/420789,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/president-feta-cream-cheese-450g/p/247245,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/prepared-beef/beef-burger/p/32332,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/h-alx-liver850-1000/p/581350,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-feta-cheese-plus-500g/p/434911,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/dry-meat/halwani-salami-dried-beef/p/318632,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/juhayna-mix-chocolate30-l-sugar200m/p/636258,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/dina-farms-low-salt-cheese-450-g/p/581207,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-milk-skimmed/juhayna-skimmed-milk-1-5l/p/12720,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/smocked-roasted-turkey/smoked-turkey-breast/p/406324,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/fish/defr-salmon-steak/p/314070,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/danone-max-peach-205g/p/533131,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/almarai-milk-strawberry-200m-6/p/593920,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/la-vache-qr-classic-24p/p/482312,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/juhayna-mix-banana-milk-200m/p/12730,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/unsalted-butter/dina-farms-butter-400g/p/603230,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/cooking-cream/almarai-cooking-cream-500ml/p/520360,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/juhayna-mix-caramel-milk-200m/p/12731,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/danone-dango-strawberry-milk-190-m/p/342902,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/unsalted-butter/almarai-butter-unsalted-400gm/p/558589,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/dry-fish/super-jumbo-herring/p/51910,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/atyab-plain-bf-lnchon/p/377727,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/mainz-cheese-cheddar-kg/p/508415,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/dina-farms-triangle-cheese-8p/p/625039,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/labneh/kiri-labneh-500g/p/385237,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-cream-milk/domty-fullcream-milk-1litre/p/552883,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-milk-skimmed/lamar-0-fat-milk-1l/p/599782,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/almarai-milk-banana-200m-6/p/593921,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/prepared-beef/beef-kofta/p/32335,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-milk-skimmed/almarai-milk-skimmed-1l/p/514379,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/cooking-cream/almarai-cooking-cream-1l/p/441295,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/mixed-butter/labanita-pure-balady-ghee-700-g/p/630912,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/whipping-cream/juhayna-whipping-cream-1l/p/12726,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-talaga-cheese-700-g/p/11832,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/almarai-strawberry-milk-200m/p/420787,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/h-kofta850-1000gm/p/581342,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/almarai-feta-cheese-plain-250g/p/637554,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/mobi-blue-cheese/p/74678,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/labneh/kiri-labneh-150g/p/498453,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-fat-yogurt/almarai-plain-yoghurt-105-g-5-1/p/575827,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/juhayna-rayeb-milk-1l/p/12754,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/juhayna-mix-vanilla-milk-200m/p/12732,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/la-vache-qr-slice-cheddar-180g/p/496282,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/unsalted-butter/almarai-butter-unsalted-200gm/p/558588,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/holland-cheese/dutch-mainz-edam-cheese/p/434029,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/danone-max-mango-205g/p/533133,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/lhemy-plain-bf-lnchon/p/318881,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/almarai-rayeb-900ml/p/576102,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/shredded-cheese/domty-grated-mozzarella-cheese-280g/p/11829,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/holland-cheese/frico-edam-soft-mild/p/421976,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/danone-max-strawberry-400g/p/533130,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-istanboly-plus-cheese-500g/p/450575,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-feta-cheese-tub-450g/p/419782,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/flavoured-yoghurt/dango-yog-strawberry-100gm-5-1/p/390902,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/uht-flavored-milk/lamar-chocolate-milk-200m/p/528322,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/holland-cheese/gouda-cheese-12k/p/437276,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-creamy-spread-150g/p/496283,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/fish/pro-medium-tilapia-053/p/612824,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/la-vache-qr-classic-32p/p/482313,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/feta-white-cheese/domty-feta-cheese-plus-olive-500g/p/450576,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/frozen-beef/h-sausage850-1000/p/581352,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/kiri-creamy-spread-cheese-350g/p/425106,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/mixed-butter/dina-farms-pure-ghee-600-g/p/611415,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/brown-eggs/egy-growers-red-eggs-18/p/176616,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/fresh-farm-luncheon-w-olives-1k/p/555701,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/soft-cream-cheese/la-vache-qr-classic-88p/p/617291,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/local-cheese/romy-chesse-wax/p/300643,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/full-fat-milk/dina-farms-full-cream-milk-850m/p/297372,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/unsalted-butter/dina-farms-butter-900-g/p/603231,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/yogurt-drink/almarai-rayeb-425m/p/508909,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/beef/fresh-farm-beef-basterma-vacuum-1k/p/555713,True
Fresh Food,https://www.carrefouregypt.com/mafegy/en/cheddar-cheese/red-cheddar-10364/p/84825,True
